config_file,model_file,model,side,label_col,candidate_col,model_version,feature_version,model_tag,label_mode,horizon_weeks,use_candidates_only,tuning_status,tuned_params_json,trained_from,trained_through,train_rows,positive_rows,usable_features
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_logistic.joblib,logistic,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""C"": 0.3}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_lda.joblib,lda,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_qda.joblib,qda,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""reg_param"": 0.2}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_lightgbm.joblib,lightgbm,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_bp.joblib,bp,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""dropout"": 0.15, ""focal_alpha"": 0.8, ""focal_gamma"": 2.5, ""hidden_layers"": [64, 32], ""learning_rate"": 0.0007, ""max_epochs"": 180, ""patience"": 20}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_mlp.joblib,mlp,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""negative_sample_ratio"": 2.0}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_bottom_svm.joblib,svm,bottom,manual_weak_bottom_label,is_bottom_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""C"": 0.5, ""gamma"": ""scale""}",2015-07-03,2026-04-03,195,48,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_top_logistic.joblib,logistic,top,manual_weak_top_label,is_top_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""C"": 0.3}",2015-01-16,2026-06-05,215,67,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_top_lda.joblib,lda,top,manual_weak_top_label,is_top_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",2015-01-16,2026-06-05,215,67,347
bottom_weekly_model_manual_labels_v0_1.yaml,models\bottom_weekly_v0_1_3w_manual\bottom_weekly_v0_1_3w_manual_post_hoc_weekly_weak_top_qda.joblib,qda,top,manual_weak_top_label,is_top_candidate,bottom-weekly-v0.1-manual,bottom-weekly-features-v0.1,bottom_weekly_v0_1_3w_manual,post_hoc_weekly_weak,3,True,ok,"{""reg_param"": 0.2}",2015-01-16,2026-06-05,215,67,347
