threshold,validation_rows,validation_signal_count,validation_precision,validation_natural_precision,validation_precision_lift,validation_avg_future_ret_3w,validation_natural_avg_future_ret_3w,validation_avg_return_lift,valid_signal_floor,selected,tuning_status,params_json,fit_rows,usable_features,test_year,side,model,label_col,train_rows
0.4,23,5,0.0,0.13043478260869565,-0.13043478260869565,0.007007086,0.018921491304347827,-0.011914405304347828,1,0,ok,"{""shrinkage"": 0.2, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.3,23,5,0.0,0.13043478260869565,-0.13043478260869565,0.007007086,0.018921491304347827,-0.011914405304347828,1,0,ok,"{""shrinkage"": 0.2, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.7,23,3,0.0,0.13043478260869565,-0.13043478260869565,0.006921243333333334,0.018921491304347827,-0.012000247971014493,1,0,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.6,23,4,0.0,0.13043478260869565,-0.13043478260869565,0.0034383775,0.018921491304347827,-0.015483113804347828,1,0,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.5,23,4,0.0,0.13043478260869565,-0.13043478260869565,0.0034383775,0.018921491304347827,-0.015483113804347828,1,0,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.4,23,4,0.0,0.13043478260869565,-0.13043478260869565,0.0034383775,0.018921491304347827,-0.015483113804347828,1,0,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.3,23,4,0.0,0.13043478260869565,-0.13043478260869565,0.0034383775,0.018921491304347827,-0.015483113804347828,1,0,ok,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",92,347,2021,bottom,lda,manual_weak_bottom_label,115
0.7,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,1,ok,"{""reg_param"": 0.2}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.6,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.2}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.5,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.2}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.4,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.2}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.3,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.2}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.7,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.5}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.6,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.5}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.5,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.5}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.4,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.5}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.3,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.5}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.7,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.8}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.6,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.8}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.5,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.8}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.4,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.8}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.3,23,10,0.1,0.13043478260869565,-0.030434782608695643,0.020708941,0.018921491304347827,0.0017874496956521747,1,0,ok,"{""reg_param"": 0.8}",92,347,2021,bottom,qda,manual_weak_bottom_label,115
0.7,23,0,,0.13043478260869565,,,0.018921491304347827,,0,0,ok,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",92,347,2021,bottom,lightgbm,manual_weak_bottom_label,115
