side,enabled_models,thresholds_json,min_votes,candidate_rows,signal_count,precision,natural_precision,precision_lift,avg_future_ret_3w,natural_avg_future_ret_3w,avg_return_lift,generation,objective_score
bottom,"logistic,lda,qda,lightgbm,mlp,svm","{""lda"": 0.5, ""lightgbm"": 0.45, ""logistic"": 0.15, ""mlp"": 0.4, ""qda"": 0.4, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,bp,svm","{""bp"": 0.25, ""lda"": 0.3, ""lightgbm"": 0.4, ""logistic"": 0.35, ""qda"": 0.45, ""svm"": 0.15}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,lda,qda,mlp,svm","{""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"qda,bp,mlp,svm","{""bp"": 0.7, ""mlp"": 0.7, ""qda"": 0.3, ""svm"": 0.2}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"qda,lightgbm,mlp","{""lightgbm"": 0.7, ""mlp"": 0.25, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"lda,qda,lightgbm,mlp,svm","{""lda"": 0.6, ""lightgbm"": 0.3, ""mlp"": 0.7, ""qda"": 0.2, ""svm"": 0.35}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,qda,lightgbm,mlp,svm","{""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.2, ""qda"": 0.2, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,bp,mlp,svm","{""bp"": 0.2, ""lda"": 0.7, ""lightgbm"": 0.6, ""logistic"": 0.15, ""mlp"": 0.15, ""qda"": 0.4, ""svm"": 0.6}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,mlp","{""lda"": 0.35, ""lightgbm"": 0.6, ""logistic"": 0.6, ""mlp"": 0.5, ""qda"": 0.2}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,214.60485440202703
bottom,"logistic,lda,qda,bp,mlp,svm","{""bp"": 0.25, ""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,1,214.60485440202703
bottom,"logistic,lda,qda,bp,mlp,svm","{""bp"": 0.3, ""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,3,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,bp,mlp","{""bp"": 0.2, ""lda"": 0.25, ""lightgbm"": 0.4, ""logistic"": 0.35, ""mlp"": 0.3, ""qda"": 0.6}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,4,214.60485440202703
bottom,"qda,lightgbm,mlp,svm","{""lightgbm"": 0.3, ""mlp"": 0.7, ""qda"": 0.2, ""svm"": 0.35}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,5,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,mlp,svm","{""lda"": 0.3, ""lightgbm"": 0.35, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,6,214.60485440202703
bottom,"logistic,qda,bp","{""bp"": 0.3, ""logistic"": 0.7, ""qda"": 0.5}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,7,214.60485440202703
bottom,"qda,bp,mlp","{""bp"": 0.7, ""mlp"": 0.7, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,8,214.60485440202703
bottom,"logistic,qda,lightgbm,bp,mlp,svm","{""bp"": 0.2, ""lightgbm"": 0.6, ""logistic"": 0.15, ""mlp"": 0.15, ""qda"": 0.4, ""svm"": 0.6}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,9,214.60485440202703
bottom,"logistic,qda,lightgbm,mlp,svm","{""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.2, ""qda"": 0.6, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,10,214.60485440202703
bottom,"qda,lightgbm,mlp","{""lightgbm"": 0.7, ""mlp"": 0.5, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,12,214.60485440202703
bottom,"logistic,lda,qda,mlp,svm","{""lda"": 0.5, ""logistic"": 0.15, ""mlp"": 0.4, ""qda"": 0.4, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,14,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,mlp,svm","{""lda"": 0.5, ""lightgbm"": 0.25, ""logistic"": 0.15, ""mlp"": 0.4, ""qda"": 0.4, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,15,214.60485440202703
bottom,"logistic,qda,lightgbm,mlp,svm","{""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.7, ""qda"": 0.2, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,16,214.60485440202703
bottom,"logistic,qda,lightgbm,mlp,svm","{""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.5, ""qda"": 0.2, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,17,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,bp,svm","{""bp"": 0.25, ""lda"": 0.3, ""lightgbm"": 0.3, ""logistic"": 0.35, ""qda"": 0.45, ""svm"": 0.15}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,18,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,mlp,svm","{""lda"": 0.5, ""lightgbm"": 0.7, ""logistic"": 0.15, ""mlp"": 0.4, ""qda"": 0.4, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,19,214.60485440202703
bottom,"logistic,lda,qda,mlp,svm","{""lda"": 0.6, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,21,214.60485440202703
bottom,"lda,qda,lightgbm,svm","{""lda"": 0.6, ""lightgbm"": 0.3, ""qda"": 0.2, ""svm"": 0.35}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,22,214.60485440202703
bottom,"qda,lightgbm","{""lightgbm"": 0.7, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,23,214.60485440202703
bottom,"qda,lightgbm,mlp","{""lightgbm"": 0.7, ""mlp"": 0.35, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,24,214.60485440202703
bottom,"qda,lightgbm,bp,mlp","{""bp"": 0.4, ""lightgbm"": 0.7, ""mlp"": 0.25, ""qda"": 0.3}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,25,214.60485440202703
bottom,"logistic,qda,lightgbm,bp,svm","{""bp"": 0.6, ""lightgbm"": 0.3, ""logistic"": 0.5, ""qda"": 0.35, ""svm"": 0.7}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,26,214.60485440202703
bottom,"logistic,qda,lightgbm,bp,mlp,svm","{""bp"": 0.4, ""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.2, ""qda"": 0.2, ""svm"": 0.4}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,28,214.60485440202703
bottom,"logistic,lda,qda,mlp,svm","{""lda"": 0.4, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,30,214.60485440202703
bottom,"logistic,lda,qda,bp,mlp,svm","{""bp"": 0.2, ""lda"": 0.7, ""logistic"": 0.15, ""mlp"": 0.15, ""qda"": 0.4, ""svm"": 0.6}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,31,214.60485440202703
bottom,"logistic,lda,qda,lightgbm,bp,svm","{""bp"": 0.25, ""lda"": 0.3, ""lightgbm"": 0.7, ""logistic"": 0.35, ""qda"": 0.45, ""svm"": 0.15}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,32,214.60485440202703
bottom,"qda,bp,mlp,svm","{""bp"": 0.7, ""mlp"": 0.3, ""qda"": 0.3, ""svm"": 0.2}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,33,214.60485440202703
bottom,"lda,qda,lightgbm,bp,mlp,svm","{""bp"": 0.35, ""lda"": 0.6, ""lightgbm"": 0.3, ""mlp"": 0.7, ""qda"": 0.2, ""svm"": 0.35}",1,80,37,0.1891891891891892,0.25,-0.0608108108108108,0.00841047864864865,0.012450520500000001,-0.004040041851351352,34,214.60485440202703
top,"logistic,lightgbm,bp,mlp","{""bp"": 0.2, ""lightgbm"": 0.4, ""logistic"": 0.4, ""mlp"": 0.45}",1,111,44,0.3409090909090909,0.3333333333333333,0.007575757575757569,0.009240057045454546,0.007346349279279279,0.001893707766175267,28,263.79172457360767
