week_start_date,week_end_date,week_pos,manual_weak_bottom_label,future_ret_3w,future_mfe_3w,future_mae_3w,is_bottom_candidate,is_top_candidate,turning_proba,test_year,year_complete,model,side,label_col,train_rows,tuned_params_json,tuning_status,manual_weak_top_label
2021-02-01,2021-02-05,311,1.0,0.04633486,0.10158525,-0.00733430,1,0,0.5236084465824415,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.039004095287635876,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.05203645241288708,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.01621049219561558,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-10-11,2021-10-15,347,1.0,0.00532950,0.03165985,-0.01576973,1,0,0.4705295946669275,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.04831390020550988,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.044144951408572136,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": false, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 8, ""n_estimators"": 180, ""negative_sample_ratio"": 3.0, ""num_leaves"": 7}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,0.4993343949317932,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-02-01,2021-02-05,311,1.0,0.04633486,0.10158525,-0.00733430,1,0,0.2106674164533615,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.08351176977157593,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
