side,enabled_models,thresholds_json,min_votes,candidate_rows,signal_count,precision,natural_precision,precision_lift,avg_future_ret_3w,natural_avg_future_ret_3w,avg_return_lift,generation,objective_score
bottom,"logistic,lda,qda,lightgbm,mlp,svm","{""lda"": 0.5, ""lightgbm"": 0.45, ""logistic"": 0.15, ""mlp"": 0.4, ""qda"": 0.4, ""svm"": 0.4}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,lda,qda,lightgbm,bp,svm","{""bp"": 0.25, ""lda"": 0.3, ""lightgbm"": 0.4, ""logistic"": 0.35, ""qda"": 0.45, ""svm"": 0.15}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,lda,qda,mlp,svm","{""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"qda,bp,mlp,svm","{""bp"": 0.7, ""mlp"": 0.7, ""qda"": 0.3, ""svm"": 0.2}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"qda,lightgbm,mlp","{""lightgbm"": 0.7, ""mlp"": 0.25, ""qda"": 0.3}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"lda,qda,lightgbm,mlp,svm","{""lda"": 0.6, ""lightgbm"": 0.3, ""mlp"": 0.7, ""qda"": 0.2, ""svm"": 0.35}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,qda,lightgbm,mlp,svm","{""lightgbm"": 0.35, ""logistic"": 0.4, ""mlp"": 0.2, ""qda"": 0.2, ""svm"": 0.4}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,lda,qda,lightgbm,bp,mlp,svm","{""bp"": 0.2, ""lda"": 0.7, ""lightgbm"": 0.6, ""logistic"": 0.15, ""mlp"": 0.15, ""qda"": 0.4, ""svm"": 0.6}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,lda,qda,lightgbm,mlp","{""lda"": 0.35, ""lightgbm"": 0.6, ""logistic"": 0.6, ""mlp"": 0.5, ""qda"": 0.2}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,0,218.9680300777027
bottom,"logistic,lda,qda,bp,mlp,svm","{""bp"": 0.25, ""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,1,218.9680300777027
bottom,"logistic,lda,qda,bp,mlp,svm","{""bp"": 0.3, ""lda"": 0.3, ""logistic"": 0.3, ""mlp"": 0.45, ""qda"": 0.2, ""svm"": 0.45}",1,80,37,0.24324324324324326,0.2625,-0.019256756756756754,0.00841047864864865,0.012450520500000001,-0.004040041851351352,3,218.9680300777027
